dependent variable,reg_spec,n_lags,value,t-statistic,significance,LB (90.00% ci),UB (90.00% ci),p_val,index
Iowa,gar_sfh_crsp,1,0.00010924085688112136,0.09919675480884034,0,-0.0017045346014143738,0.001923016315176616,0.9210101305134655,27
Nevada,gar_sfh_crsp,1,-0.0015635400522746904,-1.2459156719519766,0,-0.003630424749582208,0.000503344645032827,0.2132074769828749,28
Vermont,gar_sfh_crsp,1,-0.0015433442415880017,-1.3499906967281683,0,-0.003426247114302377,0.0003395586311263725,0.17745039317893996,29
Wyoming,gar_sfh_crsp,1,-0.0022713357826849275,-3.2181808367864653,1,-0.0034337657197699148,-0.0011089058455999404,0.00134887298993136,30
Virginia,gar_sfh_crsp,1,0.0022366393191691975,0.7465595326191897,0,-0.0026976816694856062,0.0071709603078239995,0.45557731018974024,31
Alaska,gar_sfh_crsp,1,-0.0024895623274296982,-3.578224729305711,1,-0.0036354743567372032,-0.0013436502981221939,0.0003695180901843731,32
Oregon,gar_sfh_crsp,1,0.0037208596326531174,0.5008620705612693,0,-0.008514620890922133,0.015956340156228363,0.6166238681884169,33
Massachusetts,gar_sfh_crsp,1,-0.004173008574883862,-1.8449666416383868,1,-0.007898269068171902,-0.00044774808159582253,0.06545986005742832,34
Maine,gar_sfh_crsp,1,-0.0010677879749564315,-0.7718096156807834,0,-0.0033464018023175836,0.00121082585240472,0.440484725624102,35
New Jersey,gar_sfh_crsp,1,-0.00030822975221545006,-0.2570769230252259,0,-0.0022829580597436114,0.0016664985553127103,0.7971940833257518,36
Texas,gar_sfh_crsp,1,-1.5174301153451823e-05,-0.003504051508358939,0,-0.007147548252299562,0.007117199649992656,0.9972051641816493,37
Utah,gar_sfh_crsp,1,-0.0009008994144445473,-0.5182378274222653,0,-0.003764042697762723,0.001962243868873627,0.6044542555819095,38
Louisiana,gar_sfh_crsp,1,0.0007072128832832971,0.22550189814406238,0,-0.0044580906749145215,0.0058725164414811125,0.8216539242097984,39
South Carolina,gar_sfh_crsp,1,-0.0018047054651107958,-2.4963278398287914,1,-0.0029954006603297957,-0.0006140102698917963,0.012774952703942022,40
Tennessee,gar_sfh_crsp,1,0.0007187897494691021,0.39667227457186865,0,-0.0022656713077814318,0.0037032508067196346,0.6917286810326173,41
Arizona,gar_sfh_crsp,1,-0.0026083093223966737,-1.2051197520939254,0,-0.0061730240196384975,0.0009564053748451489,0.22855972038731043,42
Delaware,gar_sfh_crsp,1,-0.005009037002125055,-3.6391501973883744,1,-0.007276029835572443,-0.0027420441686776694,0.0002934373657546008,43
Indiana,gar_sfh_crsp,1,-0.0014059916341655466,-0.6896113399565188,0,-0.00476394167107632,0.0019519584027452258,0.4906645916537049,44
Pennsylvania,gar_sfh_crsp,1,0.00024275145642999252,0.20079969898254854,0,-0.0017483558892140072,0.0022338588020739914,0.8409128673197201,45
North Carolina,gar_sfh_crsp,1,-0.0009438466532348311,-0.3583946992351546,0,-0.0052813093252596045,0.003393616018789941,0.7201547927022036,46
Kentucky,gar_sfh_crsp,1,-0.00249097760938313,-1.571443243365967,0,-0.005101737978781008,0.00011978276001474615,0.11652649231860268,47
Maryland,gar_sfh_crsp,1,-0.004930160461178103,-1.7901530225509599,1,-0.009466095081010852,-0.000394225841345356,0.07385651656023762,48
United States,gar_sfh_bonds,12,0.06469786216767907,4.524968165370855,1,0.04114799084609792,0.08824773348926021,7.118772636038884e-06,0
Florida,gar_sfh_bonds,12,0.06862488052084748,3.7641063946615683,1,0.03859636611028275,0.09865339493141219,0.00018145804602753834,1
Texas,gar_sfh_bonds,12,0.04360654399658755,5.462630778845659,1,0.03045841497294663,0.05675467302022847,6.56731222736795e-08,2
Oklahoma,gar_sfh_bonds,12,0.043219552518233846,4.13472800969526,1,0.026002949874504213,0.060436155161963476,3.9941953954070186e-05,3
Ohio,gar_sfh_bonds,12,0.04306302973520545,3.0914409377893937,1,0.020119630396317794,0.0660064290740931,0.002072557329510394,4
Georgia,gar_sfh_bonds,12,0.04061931060727196,4.9953590836884985,1,0.027226245741873926,0.05401237547266999,7.459303164036868e-07,5
Oregon,gar_sfh_bonds,12,0.03658733084757575,3.216175543439489,1,0.01785011245820091,0.05532454923695058,0.0013601160920932998,6
California,gar_sfh_bonds,12,0.033361686670575826,3.2876445029034747,1,0.016647806475689798,0.05007556686546184,0.0010618223459808451,7
Wisconsin,gar_sfh_bonds,12,0.03089231421403886,3.954472878808521,1,0.018025353397884403,0.04375927503019331,8.467050046667701e-05,8
Washington,gar_sfh_bonds,12,0.029397941719231564,4.335018907653377,1,0.018228278859056465,0.040567604579406655,1.6759203018690272e-05,9
Colorado,gar_sfh_bonds,12,0.028305853840955054,3.2490744781928123,1,0.01395655338313681,0.04265515429877329,0.0012142979819425026,10
Illinois,gar_sfh_bonds,12,0.025167250163893973,3.5543020204461695,1,0.013504644974328116,0.036829855353459826,0.0004049871408726702,11
Indiana,gar_sfh_bonds,12,0.02010810726550019,2.5410001766215125,1,0.00707401970222713,0.033142194828773244,0.011272739027103462,12
Alabama,gar_sfh_bonds,12,0.019311167818541072,4.9971040411733165,1,0.012946081720878596,0.025676253916203547,7.394499756951944e-07,13
Kansas,gar_sfh_bonds,12,0.018475479682174785,3.554673944985813,1,0.009914763711244213,0.027036195653105353,0.00040442517452032867,14
Missouri,gar_sfh_bonds,12,0.01715228901894964,3.374557671074156,1,0.008780478937147264,0.025524099100752016,0.0007809639444389394,15
Mississippi,gar_sfh_bonds,12,0.01694482573173886,2.0085593210366226,1,0.003049568844101796,0.03084008261937592,0.044975318245061624,16
Louisiana,gar_sfh_bonds,12,0.01667267343879014,1.8815102271005129,1,0.0020773811458957014,0.03126796573168457,0.06032574923396217,17
Arkansas,gar_sfh_bonds,12,0.014279931080188784,2.8873548640534894,1,0.006134012133966036,0.02242585002641153,0.0040072308886638375,18
New Jersey,gar_sfh_bonds,12,0.012027720007013432,3.734141579727651,1,0.0067224600922458355,0.017332979921781025,0.00020399191874109768,19
Nebraska,gar_sfh_bonds,12,0.010751960766691947,3.3006831251846735,1,0.00538661179645759,0.0161173097369263,0.0010144307520103535,20
Arizona,gar_sfh_bonds,12,0.010639175121754307,2.094216332938237,1,0.0022715820562414224,0.019006768187267188,0.03660708935478585,21
